"카테고리","대표질문","유사질문","검증샘플","의도","답변"
"모바일","olleh 모바일 콜중진담 서비스는 어떻게 사용하나요?","","olleh 모바일 콜중진담 서비스는 어떻게 사용하나요?","부가서비스","olleh 모바일 콜중진담 서비스는 아래 2가지 방법으로 이용하실 수 있습니다.  ■  보이스ⓝ 모바일 인터넷 페이지를 이용하는 방법    ① 상대방의 전화번호를 누른 후 ⓝ을 눌러 모바일 인터넷에 접속합니다.     ② 보이스ⓝ 모바일 인터넷 페이지에서 ""콜중진담"" 메뉴를 선택합니다.    ③ 공지사항 안내 후 ""전화연결을 하시겠습니까?"" 라는 문자가 핸드폰에 나타나면 확인을        선택합니다.    ④ 통화를 끝낸 후 종료버튼을 누릅니다.    ⑤ MMS(멀티메시지)를 통해 최종결과를 확인합니다.    ⑥ 상세정보 보기를 원하시면 통화하기 버튼을 눌러 모바일 인터넷에 접속합니다. ■  피쳐코드를 이용하는 방법    ① 핸드폰에서 *007 을 누른 후 상대방의 전화번호를 누릅니다.        ex) *007-016-123-4567     ② 음성안내 후 콜중진담 서비스에 접속되어 통화합니다.        (최초 접속시에만 안내멘트가 있고 두 번째 접속 시에는 없음)    ③ 통화를 끝낸 후 종료버튼을 누릅니다.    ④ MMS(멀티메시지)를 통해 최종결과를 확인합니다.    ⑤ 상세정보 보기를 원하시면 통화하기 버튼을 눌러 모바일 인터넷에 접속합니다."
"모바일","olleh 모바일 자동답장 서비스는 무엇인가요?","","olleh 모바일 자동답장 서비스는 무엇인가요?","부가서비스","문자메시지를 보낼 수 없는 상황에서 고객이 지정 또는 기본 지정된 내용의 문자 전송를 전송 해주는 서비스로 전원 Off , 극장 등 공공장소, 수면, 수업, 회의, 출장, 운전 등 다양한 상황에 대처 가능하며 발신자는 발송한 문자에 대한 응답을 즉시 확인할 수 있으며, 수신자의 상황 파악 가능합니다. 본 서비스는 2009년 7월 30일 (서비스 가입은 7월 15일부터 제한)부터 중단되었습니다. 월 이용요금은 다음과 같습니다. 구분　이용요금 혜택일정액300월(일)자동답장 되는 문자메시지 요금은 무료월정액900월(월) * olleh 모바일 자동답장 서비스 안내 바로가기▶"
"모바일","핸드폰 전원이 켜져 있어도 olleh 모바일 자동답장 서비스 이용이 가능한가요?","","핸드폰 전원이 켜져 있어도 olleh 모바일 자동답장 서비스 이용이 가능한가요?","부가서비스","네. 전원이 켜짐 상태에서도 명의자 설정에 따른 자동답장이 가능합니다.  설정하는 방법은 다음과 같습니다. ①  핸드폰에서 #5252 번호로 SMS를 보내면 설정할 수 있는 URL SMS가 수신됩니다.②  서비스에 가입하면 자동으로 명의자에게 olleh 모바일 자동답장 서비스로 바로 연결 가능한     메시지도 전송합니다."
"모바일","olleh 모바일 자동답장의 월정액은 일할계산 인가요?","","olleh 모바일 자동답장의 월정액은 일할계산 인가요?","부가서비스","월정액(900원)과 일정액(300원)이 있고 월정액은 일할계산이고, 해지 후 일주일간 재가입이 안됩니다.또한 일정액은 가입과 동시에 요금이 부과되며, 당일 자정까지 이용 가능합니다."
"모바일","olleh 모바일 자동답장 시 특수번호 등에 대해서는 전송이 안되나요?","","olleh 모바일 자동답장 시 특수번호 등에 대해서는 전송이 안되나요?","부가서비스","네, olleh 모바일 자동답장의 기준은 콜백번호 기준입니다.그러므로 ''1004'' 와 같은 방법으로 보낸다면 자동답장이 되지 않습니다."
"모바일","무제한 사진업로드 서비스는 무엇인가요?","","무제한 사진업로드 서비스는 무엇인가요?","부가서비스","핸드폰으로 찍은 사진을 무제한으로 온라인 포토앨범으로 업로드할 수 있는 서비스이며,월 이용요금은 2,000원 입니다.  * 무제한 사진업로드 서비스 안내 및 신청 바로가기"
"모바일","사진업로드는 핸드폰의 어떤 메뉴로 접속해야 하나요?","","사진업로드는 핸드폰의 어떤 메뉴로 접속해야 하나요?","부가서비스","핸드폰 카메라 메뉴에 있는 사진업로드하기 또는 매직엔포토샷 기능을 이용하여 사진업로드를 할 수 있습니다. ㅇ 이용방법    방법 ① : 핸드폰 카메라 - 사진업로드하기 - 포토앨범 업로드 - 사진선택 및 전송    방법 ② : 핸드폰 카메라 - 매직엔 포토샷 - 포토샷 업로드 하기 - 사진선택 및 전송     단, 방법 ①, ② 이외의 방법으로 사진을 올리는 경우    (예, MMS 특정번호 전송 등)에는 무제한 사진업로드 제공 범위에 적용이 되지 않습니다."
"모바일","문자그룹 서비스는 무엇인가요?","","문자그룹 서비스는 무엇인가요?","부가서비스","SMS, MMS를 이용한 커뮤니티 서비스로 그룹의 생성 및 그룹 가입/탈퇴를 SMS를 이용하여 쉽게 할 수 있는 장점을 갖고있는 문자 서비스이며, 이용요금은 10원(그룹 인원당 정보이용료)입니다. * 문자그룹 서비스 안내 바로가기▶"
"모바일","olleh 모바일 투폰서비스는 무엇인가요?","","olleh 모바일 투폰서비스는 무엇인가요?","부가서비스","기존 olleh 모바일 투넘버플러스 서비스에서 제공되고 있는 특징 등을 그대로 수용하고 있으며, 추가적인 서비스 및 핸드폰 UI를 대폭 개선(전용 핸드폰 제공)하여 진정한 2개의 번호를 사용할 수 있는 서비스입니다.  월 이용요금은 다음과 같습니다. 구분이용요금내용월정액 3,500원/월* 월 단위 부과연납서비스20,000원/년* 등록 시 1년간 사용할 수 있는 서비스※ 단, 가입 후 14일이내 해지하면 요금발생    취소됩니다.※ 해지 후 6개월이내 재가입시 별도 요금    없습니다.    (동일 명의자의 동일 계약번호기준) * olleh 모바일 투폰 서비스 안내 및 신청 바로가기▶"
"모바일","olleh 모바일 자동답장 서비스 이용시 전원이 켜져있는 상태일 경우도 본인이 설정만으로 상대방에게 회신이 되나요?","","olleh 모바일 자동답장 서비스 이용시 전원이 켜져있는 상태일 경우도 본인이 설정만으로 상대방에게 회신이 되나요?","부가서비스","전원이 ON인 상태에서도 본인 설정에 따른 자동답장이 가능합니다. 설정은 유/무선 olleh버튼(구 핸드폰은 SHOW/매직엔) 메세징 메뉴에 있는 자동답장 서비스에서 가능하며, 핸드폰에서 #5252 번호로 SMS를 보내면 설정할 수 있는 URL SMS가 수신됩니다. 서비스에 가입하면 자동으로 고객님께 무선 자동답장 서비스로 바로 연결 가능한 메시지도 수신됩니다."
"모바일","키핑콜 서비스는 일시정지 상태에서도 이용이 가능한가요?","","키핑콜 서비스는 일시정지 상태에서도 이용이 가능한가요?","부가서비스","발신정지 상태에서는 서비스 이용이 가능합니다. 착신정지 또는 발착신정지에는 서비스 이용 안됩니다.  물론, 정상 개통상태에서 서비스 신청이 가능하며, 신청 이후에 발신정지하는 경우에는 서비스 이용이 가능합니다."
"모바일","키핑콜서비스는 모든 전화 및 메시지에 대해서 수신 내용을 확인 할 수 있나요?","","키핑콜서비스는 모든 전화 및 메시지에 대해서 수신 내용을 확인 할 수 있나요?","부가서비스","네. 모든 전화에 대해 확인이 가능합니다.단, 동일 번호로 연속해서 전화가 걸려 오는 경우에는 최초 한번만 확인 됩니다. SMS까지 확인 가능하며, ARS의 경우 음성으로 읽어줍니다. 메시지의 경우 일반 메시지가 아닌 URL 메시지는 제외됩니다. 핸드폰이 꺼져 있을 경우에 전송 실패된 메시지도 확인 가능합니다.(폐기된 메시지도 확인 가능)"
"모바일","키핑콜 서비스 신청 후 다음날 24시가 되면 자동삭제 되는데, 계속 사용할 수는 없을까요?","","키핑콜 서비스 신청 후 다음날 24시가 되면 자동삭제 되는데, 계속 사용할 수는 없을까요?","부가서비스","네. 계속 이용을 원할 경우는 서비스 자동해지 후 재신청을 하셔야 합니다."
"모바일","키핑콜서비스는 일시정지 상태일 경우 웹이 사용이 안되는데, 메시지매니저나 키핑콜 페이지에서 확인이 가능한가요?","","키핑콜서비스는 일시정지 상태일 경우 웹이 사용이 안되는데, 메시지매니저나 키핑콜 페이지에서 확인이 가능한가요?","부가서비스","일시정지 상태에도 키핑콜 페이지는 이용이 가능하여 수신된 메시지나 전화번호 확인이 가능합니다.단, 일시정지 전에 서비스 신청이 되어 있어야 합니다.예를들어, 키핑콜 서비스 신청 분실로 인한 발신정지시 웹(키핑콜 페이지)에서 확인 가능합니다."
"모바일","olleh 모바일 아이서치 서비스는 무엇인가요?","","olleh 모바일 아이서치 서비스는 무엇인가요?","부가서비스","법정대리인이 자녀를 안전하게 보호하고 위험으로부터 사전에 예방하기 위하여 제공되는 위치 기반 자녀 안심서비스이며, 월 이용요금은 3,000원 입니다.(아이러브 요금제 사용 고객은 무료제공) * olleh 모바일 아이서치 서비스 안내 및 신청 바로가기▶"
"모바일","olleh 모바일 아이서치서비스의 추가서비스를 받으려면 기존 olleh 모바일 아이러브 요금제 사용고객은 어떻게 하나요?","","olleh 모바일 아이서치서비스의 추가서비스를 받으려면 기존 olleh 모바일 아이러브 요금제 사용고객은 어떻게 하나요?","부가서비스","기존 olleh 모바일 아이러브 요금제 가입한 고객은 자동으로 추가서비스를 이용 하실 수 있습니다.단, 자동위치 통보서비스 이용을 위해서는 알림대상 번호 설정을 해야 사용하실 수 있습니다."
"모바일","olleh 모바일 아이서치서비스의 자동위치 통보 서비스 알림대상 번호설정은 몇개까지 가능한가요?","","olleh 모바일 아이서치서비스의 자동위치 통보 서비스 알림대상 번호설정은 몇개까지 가능한가요?","부가서비스","최대 4개까지 핸드폰번호만 가능합니다.(핸드폰번호는 자사/타사 모두 가능합니다.)"
"모바일","olleh 모바일 아이러브 요금제 해지하면 olleh 모바일 아이서치 서비스 이용이 가능한가요?","","olleh 모바일 아이러브 요금제 해지하면 olleh 모바일 아이서치 서비스 이용이 가능한가요?","부가서비스","이용이 불가능합니다."
"모바일","문자그룹서비스 타사 가입자도 이용할 수 있나요?","","문자그룹서비스 타사 가입자도 이용할 수 있나요?","부가서비스","타사 이용 고객은 그룹생성은 할 수 없으며, 그룹 회원으로 가입만 가능합니다. (타사는 추후 서비스 이용 가능합니다. ) 타사 이용 고객은 무선/유선 사용하실 수 없으며 SMS(단문메시지)를 통한 메시지 전송 서비스만 이용가능합니다.(단, 유선 이용 안내부분 이용 가능합니다.)"
"모바일","문자그룹 사용 순서는 어떻게 되나요?","","문자그룹 사용 순서는 어떻게 되나요?","부가서비스","① 그룹 만들기 - 원하는 그룹명, 그룹번호로 그룹 만들기② 내 그룹으로 ""친구 초대"" 하기 - 내 그룹으로 친구들 한번에 5명까지 초대③ 문자 그룹 사용하기 - #5555 + 그룹번호로 메시지 보내면 그룹원 모두에게 전달합니다."
"모바일","문자그룹 서비스는 한번에 몇명까지 전송이 가능한가요?","","문자그룹 서비스는 한번에 몇명까지 전송이 가능한가요?","부가서비스","그룹 하나당 회원수는 무제한이며, 각 그룹의 회원들 모두에게 전송 가능 합니다."
"모바일","멘트링 설정 실패 메시지를 받았는데, 요금은 어떻게 되나요?","","멘트링 설정 실패 메시지를 받았는데, 요금은 어떻게 되나요?","부가서비스","멘트링 이용 요금은 설정이 완료되는 시점에 부과됩니다.중간에 설정 실패시에는 요금이 부과되지 않습니다.단, 설정 시도시에 이용하신 패킷요금, SMS 요금은 부과됩니다."
"모바일","멘트링서비스 이용 시 내목소리로 녹음한 목소리를 확인할수 있는 방법이 있나요?","","멘트링서비스 이용 시 내목소리로 녹음한 목소리를 확인할수 있는 방법이 있나요?","부가서비스","녹음시 저장 전에는 녹음된 내용을 청취 가능하나, 녹음 완료하고 저장을 끝낸후엔 청취 불가하며, 설정 후 핸드폰에서 직접 확인하는 방법만 가능합니다."
"모바일","멘트링서비스 이용시 여러번 녹음했는데, 녹음할때마다 요금이 부과 되나요?","","멘트링서비스 이용시 여러번 녹음했는데, 녹음할때마다 요금이 부과 되나요?","부가서비스","몇번을 녹음하셔도 요금이 부과되지 않습니다.녹음 후 설정버튼을 누르셔서 설정이 성공된 경우에만 부과됩니다."
"모바일","멘트링 서비스 목소리 녹음을 7초 이상 할 순 없나요?","","멘트링 서비스 목소리 녹음을 7초 이상 할 순 없나요?","부가서비스","멘트링에서 목소리 녹음 가능 시간은 7초입니다."
"모바일","olleh 모바일 녹음콜 이용방법은 어떻게 되나요?","","olleh 모바일 녹음콜 이용방법은 어떻게 되나요?","부가서비스","olleh 모바일 녹음콜 서비스 가입자는 아래 2가지 방법으로 통화내용을 저장할 수 있습니다. ㅇ 보이스엔 모바일 인터넷 페이지를 이용하는 방법    * 상대방 전화번호를 누른 후 ⓝ버튼을 누른다.    * 보이스엔 모바일 인터넷 페이지에서 ""3. 녹음콜 (*03)"" 메뉴를 선택한다. ㅇ 피쳐코드를 이용하는 방법    * [*03 + 상대방의 전화번호]를 누른 후 통화버튼을 누른다.     * 녹음저장 가능한 시간을 들려주고 난 뒤 상대방과 통화를 시작하는 순간부터 자동으로 통화내용은 저장됩니다."
"모바일","녹음기능이 없는 구형 핸드폰도 olleh 모바일 녹음콜 이용이 가능한가요 ?","","녹음기능이 없는 구형 핸드폰도 olleh 모바일 녹음콜 이용이 가능한가요 ?","부가서비스","olleh 모바일 녹음콜 서비스는 기존의 핸드폰에서 저장하는 녹음기와는 달리 네트워크에 통화내용을 저장합니다.따라서, 핸드폰의 종류에 상관없이 누구나 녹음콜 서비스를 받으실 수 있습니다.  핸드폰을 교체해도 통화내용은 지워지지 않습니다."
"모바일","녹음된 메시지는 어디서 확인이 가능한가요?","","녹음된 메시지는 어디서 확인이 가능한가요?","부가서비스","녹음된 메시지는 웹이나 모바일 인터넷을 통해 확인이 가능합니다. ㅇ 웹에서 녹음메시지 확인하는 방법    - 보이스엔 웹사이트 접속 → 녹음콜 서비스 → 녹음콜 목 록 → 청취 선택 ㅇ 보이스엔 모바일 인터넷을 이용한 녹음메시지 확인 방법     - 자기번호 + olleh버튼(구 핸드폰은 SHOW/매직엔) → 3. 녹음콜 메뉴선택 → 녹음 콜 목록 선택 → 확인"
"모바일","olleh 모바일 녹음콜의 녹음이 가능한 시간은 얼마나 되나요?","","olleh 모바일 녹음콜의 녹음이 가능한 시간은 얼마나 되나요?","부가서비스","olleh 모바일 녹음콜30 월정액에 가입하신 분은 최대 30분까지, olleh 모바일 녹음콜60 월정액에 가입하신 분은 최대 1시간(60분)까지 저장 가능합니다."
"모바일","olleh 모바일 녹음콜60으로 가입했는데 녹음 분량이 60분 다 찼습니다. 추가할 방법이 있나요?","","olleh 모바일 녹음콜60으로 가입했는데 녹음 분량이 60분 다 찼습니다. 추가할 방법이 있나요?","부가서비스","기존에 녹음하신 내용중에 중요하지 않은 녹음 내용을 삭제하시면, 삭제한 녹음 시간만큼 녹음을 더 하실 수 있습니다."
"모바일","olleh 모바일 녹음콜로 녹음된 메시지는 어디서 확인이 가능한가요?","","olleh 모바일 녹음콜로 녹음된 메시지는 어디서 확인이 가능한가요?","부가서비스","녹음된 메시지는 올레닷텀(www.olleh.com)사이트나 모바일 인터넷을 통해 확인이 가능합니다.  이용방법은 다음과 같습니다.  ① 웹에서 녹음메시지를 확인하는 방법    * http://www.olleh.com/ → 컨텐츠와 라이프 → 통화 → 편리한 통화 → 재미있는 통화 →      녹음콜 → 녹음콜 목록 → 청취선택 비밀번호 입력 → 녹음메시지 청취  ② 모바일 인터넷에서 확인하는 방법    * olleh 접속(구 핸드폰은 SHOW/매직엔) → 메뉴 중 #생활 → 5. 통화서비스 → 3. 녹음콜      → 2. 음성목록"
"모바일","olleh 모바일 링투유 오토체인지는 최신가요만 이용이 가능한가요?","","olleh 모바일 링투유 오토체인지는 최신가요만 이용이 가능한가요?","부가서비스","아니요. 그렇지 않습니다.  olleh 모바일 링투유 오토체인지 서비스는 총 8개 음악장르로 구성되어 있습니다.최신가요 외에도, CF/OST, ROCK, 댄스/힙합, 팝/재즈, 클래식/연주곡, 트로트, 386송 등 다양한 장르중에서 고객님의 취향에 맞는 장르를 선택하실 수 있습니다."
"모바일","olleh 모바일 링투유 오토체인지를 사용하면 기존에 설정된 링투유는 어떻게 되나요?","","olleh 모바일 링투유 오토체인지를 사용하면 기존에 설정된 링투유는 어떻게 되나요?","부가서비스","기존에 설정되어 있던 기본음이 링투유 오토체인지의 음원으로 변경되며, 그 외의 발신자별, 시간/요일별, 기념일별 링투유는 그대로 유지됩니다. 단, 패키지링을 설정한 고객님의 경우 패키지링에 설정 내역을 삭제하셔야만 olleh 모바일 링투유 오토체인지가 정상 서비스 되오니, 이점 유의하시기 바랍니다."
"모바일","olleh 모바일 링투유 오토체인지로 설정된 곡은 어디서 확인할 수 있나요?","","olleh 모바일 링투유 오토체인지로 설정된 곡은 어디서 확인할 수 있나요?","부가서비스","http://www.olleh.com/ 접속하셔서 컨텐츠와 라이프 > 마켓 > 폰꾸미기 > 통화연결음 > 오토체인지에 가시면 각 변경 주기별 링투유 오토체인지 선곡표를 보실 수 있으며, 유/무선 마이링투유에서도 설정되어 있는 링투유 내역을 확인하실 수 있습니다."
"모바일","olleh 모바일 링투유 오토체인지에서 장르변경은 무료인가요?","","olleh 모바일 링투유 오토체인지에서 장르변경은 무료인가요?","부가서비스","네. 장르변경은 언제든지 무료입니다."
"모바일","olleh 모바일 링투유 오토체인지 서비스를 이용하면 기본링 이외의 링도 자동으로 변경되나요?","","olleh 모바일 링투유 오토체인지 서비스를 이용하면 기본링 이외의 링도 자동으로 변경되나요?","부가서비스","아닙니다.olleh 모바일 링투유 오토체인지는 기본링으로만 등록되므로 기본링 외의 시간/요일별, 발신자별, 기념일별 링투유는 변경되지 않습니다."
"모바일","olleh 모바일 링투유 오토체인지 사용 중 새로운 링투유을 다운받으면 어떻게 되나요?","","olleh 모바일 링투유 오토체인지 사용 중 새로운 링투유을 다운받으면 어떻게 되나요?","부가서비스","새로운 링투유를 다운받았을 경우, 기념일별, 발신자별, 시간/요일별 링투유로 설정하셔서 사용이 가능합니다. 단, 기본링으로는 설정이 불가능합니다."
"모바일","LMS(장문메시지)나 MMS(멀티메시지)도 별문자로 변환가능한가요?","","LMS(장문메시지)나 MMS(멀티메시지)도 별문자로 변환가능한가요?","부가서비스","아닙니다. 별문자는 한글 45자 (90kb)까지면 별문자로 변환되며, 그 이상의 LMS(장문메시지)나 MMS(멀티메시지)는 (그림, 소리, 사진, 동영상 첨부)은 별문자로 변환되지 않습니다."
"모바일","olleh 모바일 별문자 월정액에 가입하면 별문자를 보낼때의 SMS(단문메시지) 전송요금이 부과되나요?","","olleh 모바일 별문자 월정액에 가입하면 별문자를 보낼때의 SMS(단문메시지) 전송요금이 부과되나요?","부가서비스","건당 정보이용료 100원만 부과되지 않으며 SMS 전송요금인 20원은 부과됩니다.(알, 무료문자 차감 가능합니다.)"
"모바일","olleh 모바일 별문자무제한 서비스는 무엇인가요?","","olleh 모바일 별문자무제한 서비스는 무엇인가요?","부가서비스","문자메시지를 보낼 때 받는 사람의 전화번호 끝에 별(*)을 붙혀 전송하면 해당메시지에 어울리는 그림과  배경음악이 자동으로 상대방에게 멀티메일 형태로 전송되는 서비스이며, 월 이용요금은 2,000원 입니다. * olleh 모바일 별문자무제한 서비스 안내 및 신청 바로가기▶"
"모바일","olleh 모바일 자동답장 서비스 이용 시 상대방이 콜백번호를 변경할 경우 회신이 안되나요?","","olleh 모바일 자동답장 서비스 이용 시 상대방이 콜백번호를 변경할 경우 회신이 안되나요?","부가서비스","답장의 기준은 콜백번호 기준입니다.(1004 이런식으로 보낸다면 자동답장이 안됩니다.)"
"모바일","olleh 모바일 별문자 월정액은 모든 고객이 신청할 수 있는 부가서비스 인가요?","","olleh 모바일 별문자 월정액은 모든 고객이 신청할 수 있는 부가서비스 인가요?","부가서비스","네. olleh 모바일 메시지코디 혹은 olleh 모바일 이모티콘문자를 사용하시는 고객님이라도 *(별)만 붙이시면 별문자로 변환되기 때문에 누구나 신청하실 수 있으며, 항상 별문자가 최우선 적용됩니다."
"모바일","olleh 모바일 별문자 무제한을 해지 이후에 다시 가입할 수 있나요?","","olleh 모바일 별문자 무제한을 해지 이후에 다시 가입할 수 있나요?","부가서비스","네 가능합니다.단 무료 혜택은 olleh 모바일 별문자 무제한 신규가입 또는 해지 후 2개월 이후 재가입일 경우만 월정액 2,000원이 30일간 무료 입니다."
"모바일","olleh 모바일 메시지코디나 olleh 모바일 이모티콘 문자 서비스 가입을 해도 별문자를 사용할 수 있나요?","","olleh 모바일 메시지코디나 olleh 모바일 이모티콘 문자 서비스 가입을 해도 별문자를 사용할 수 있나요?","부가서비스","네. 별문자는 (*)을 붙이면 최우선적으로 적용되기 때문에 olleh 모바일 메세지코디나 olleh 모바일 이모티콘 가입한 고객님도 (*)을 붙여서 별문자 전송을 하실 수 있습니다."
"모바일","LMS(장문메시지)나 MSS(멀티메시지)도 olleh 모바일 별문자로 변환이 가능한가요?","","LMS(장문메시지)나 MSS(멀티메시지)도 olleh 모바일 별문자로 변환이 가능한가요?","부가서비스","아닙니다. 별문자는 한글 45자 (90kb)까지면 별문자로 변환되며, 그 이상의  LMS(장문메시지)나 MMS(멀티메시지) 그림, 소리, 사진, 동영상 첨부는 별문자로 변환되지 않습니다."
"모바일","olleh 모바일 별문자 월정액에 가입하면 별문자를 보낼때의 SMS전송료도 무료인가요?","","olleh 모바일 별문자 월정액에 가입하면 별문자를 보낼때의 SMS전송료도 무료인가요?","부가서비스","아닙니다. 건당 정보이용료 100원만 무료처리 되며, SMS 전송료인 20원은 부과됩니다. ※ 단, SMS 20원 부과됩니다. (알, 무료문자 차감가능합니다.)"
"모바일","olleh 모바일 로즈데이 서비스는 어떻게 가입하나요?","","olleh 모바일 로즈데이 서비스는 어떻게 가입하나요?","부가서비스","ㅇ 인터넷 가입    *  이벤트 페이지 방문 또는 핸드폰 인증후 원하는 입장권 선택, 100% 경품 당첨                    (핸드폰 인증하시면 olleh 모바일 로즈데이에 자동가입 됩니다.)ㅇ 모바일 가입    * olleh (구 핸드폰은 SHOW/매직엔) → 0.스포츠/ 뉴스/Life → 6.여성/패션-olleh 모바일 로즈데이 접속"
"모바일","모바일 정보도용 차단 서비스 이용방법을 알려주세요.","","모바일 정보도용 차단 서비스 이용방법을 알려주세요.","부가서비스","핸드폰에서 **888 + olleh버튼(구 핸드폰은 SHOW/매직엔) 또는 통화 버튼을 눌러 접속하시고, 회원가입을 하시면 됩니다."
"모바일","olleh 모바일 문자팩서비스는 가입 후 30일이내 해지를 하면 재가입이 불가능한가요?","","olleh 모바일 문자팩서비스는 가입 후 30일이내 해지를 하면 재가입이 불가능한가요?","부가서비스","네.  해지 후 30일 이내 재가입은 불가능합니다."
"모바일","olleh 모바일 문자팩서비스와 olleh 모바일 메시지매니저, olleh 모바일 문자번호 서비스 중복 가입이 가능한가요?","","olleh 모바일 문자팩서비스와 olleh 모바일 메시지매니저, olleh 모바일 문자번호 서비스 중복 가입이 가능한가요?","부가서비스","중복 가입은 불가합니다.따라서, 기존에 가입되어 있는 상품은 해지하신 [olleh 모바일 문자팩 일반/olleh 모바일 문자팩프리미엄]상품에 가입하실 수 있습니다."
"모바일","olleh 모바일 문자팩 서비스의 olleh 모바일 메시지매니저에서 제공하는 무료문자 80건, 무료 MMS 20건은 핸드폰 전송, 웹 전송 모두 적용되는 건가요?","","olleh 모바일 문자팩 서비스의 olleh 모바일 메시지매니저에서 제공하는 무료문자 80건, 무료 MMS 20건은 핸드폰 전송, 웹 전송 모두 적용되는 건가요?","부가서비스","아닙니다.무료문자 80건은 핸드폰 → 핸드폰 50건, 사이트/ 모바일 인터넷 내 olleh 모바일 메시지매니저에서 30건 이용이 가능하며, 무료 MMS 20건은 olleh 모바일 메시지매니저 사이트/ 모바일 인터넷  내 PC 클라이언트에서만 무료 적용 됩니다."
"모바일","olleh 모바일 메시지매니저 서비스 이용하는데, 메시지가 저장이 안 되는 경우는 어떠한 경우인가요?","","olleh 모바일 메시지매니저 서비스 이용하는데, 메시지가 저장이 안 되는 경우는 어떠한 경우인가요?","부가서비스","메시지매니저에서 저장되는 메시지는 SMS(단문메시지)입니다.다운로드, 주식정보 통지 등의 통지성 메시지는 저장이 되지 않습니다."
"모바일","olleh 모바일 메시지매니저 보관함 저장 건수가 1,000건이 넘으면 어떻게 되나요?","","olleh 모바일 메시지매니저 보관함 저장 건수가 1,000건이 넘으면 어떻게 되나요?","부가서비스","개인별 메시지 보관함 저장 한계는 1,000건 입니다. 1,000건이 넘는 경우 오래된 메시지 순서대로 자동 삭제가 되며, 메시지 보호 설정을 한 메시지는 오래된 메시지라도 삭제 되지 않습니다. 단, 전체 메시지를 보호 설정을 한 경우는 오래된 메시지 순으로 삭제가 됩니다.  저장건수는 올레닷컴 메시지매니저 메뉴 왼쪽 상단에 현재 사용량에서 표시가 되고 있으며, 명의자가 자신의 핸드폰번호로 전송한 메시지는 발신함, 수신함에 각각 나타나지만 총 건수는 1건으로 산정 됩니다."
"모바일","타사 번호를 비밀문자 수신번호로 지정한 경우에도 비밀수신이 되나요?","","타사 번호를 비밀문자 수신번호로 지정한 경우에도 비밀수신이 되나요?","부가서비스","네. 가능합니다.비밀문자 서비스에 가입된 핸드폰은 통신사에 관계없이발신번호를 지정하여 비밀수신 할 수 있습니다.(본 서비스는 2007년 8월 31일부로 종료 되었습니다. ) 유사 서비스는 olleh 모바일 문자번호 혹은 olleh 모바일 투넘버서비스를 이용하시면 됩니다."
"모바일","olleh 모바일 누규 서비스 해지방법은 어떻게 되나요?","","olleh 모바일 누규 서비스 해지방법은 어떻게 되나요?","부가서비스","모바일상품 고객센터 전화신청(핸드폰:114/집전화:1588-0010)을 하시거나 olleh plaza, 대리점 방문하여 처리가 가능합니다."
"모바일","olleh 모바일 아이서치서비스의 자동위치알림 기능은 뭔가요?","","olleh 모바일 아이서치서비스의 자동위치알림 기능은 뭔가요?","부가서비스","ㅇ 등록된 시간동안 일정 간격으로 자녀의 위치를 다른 가족에게 전송합니다.     * 기본설정 : 월~금 오후 1시~오후 7시(1시간 간격) - 변경가능    * 설정시간은 최소 1시간 단위로 가능(현재 1시간, 2시간, 3시간 단위로 설정 가능)    * 일일 최대 24회(1시간 간격)으로 통보 받을 수 있으며, 조회시간/요일 변경이 가능    * 최대 4명까지 SMS 수신자 지정 가능(타사고객 통보 가능)    * 직전위치와 동일한 경우 위치통보 SMS 수신여부 선택 가능       - 설정1. 직전위치와 동일하면 SMS 받지 않음       - 설정2. 직전위치와 동일하더라도 SMS를 받음"
"모바일","olleh 모바일 아이서치 서비스의 안심존 기능은 뭔가요?","","olleh 모바일 아이서치 서비스의 안심존 기능은 뭔가요?","부가서비스","자녀가 특정지역에 진입 및 이탈 시 법정대리인에게 통보합니다. 안심존 기능음 다음과 같습니다.     * 자동위치 알림에서 설정한 서비스 시간 간격으로 통보     * 자녀가 해당 안심지역으로 들어왔을 경우에 SMS로 통보(진입알림)    * 자녀가 해당 안심지역을 벗어났을 경우에 SMS를 통보(이탈알림)    * 안심존 설정은 1개 지역만 설정 가능하며, 반경 약 2km 범위내에서 서비스를 제공    * 진입 및 이탈 알림은 자동위치 알림에서 설정한 시간 간격으로 통보       <안심존기능의 경우 자동위치알림서비스와 동일한 주기를 이용하므로 자동위치알림 서비스          취소 시에는 통보불가>"
"모바일","olleh 모바일 아이서치서비스의 자녀위치찾기 이용시 요금이 얼마인가요?","","olleh 모바일 아이서치서비스의 자녀위치찾기 이용시 요금이 얼마인가요?","부가서비스","조회 건당 100원 정보이용료 부과됩니다. 친구찾기 월정액 가입 시 월 20건 무료 제공되며, 모바일 인터넷 접속 시 데이터통화료 부과됩니다."
"모바일","olleh 모바일 아이서치 서비스의 발자취보기 기능은 뭔가요?","","olleh 모바일 아이서치 서비스의 발자취보기 기능은 뭔가요?","부가서비스","자녀의 이동 발자취를 시간대별로 조회할 수 있습니다.  자녀의 위치를 지속적으로 모니터링(각 자동위치알림으로 조회한 내역을 확인가능),최근 72시간 동안의 SMS통보 이동경로를 조회 가능(지도보기 가능)합니다."
